sentence,id,article_id,valence,arousal,is_annotated,is_miscellaneous,is_drafted,rank_idx,draft_time
"Japan's Nikkei (N225) fell 1.3 percent after a market holiday on Monday, hitting a threemonth low and down over 8 percent so far this year while Chinese stocks  swung around in volatile opening trades.",276,63,0.42,0.58,True,False,True,585,2022-08-23T08:44:52.4373480
"She said the car indicates the direction of Buick sedans, but would not say if there were plans to make a production model.",493,115,0.51,0.45,True,False,True,220,2022-07-01T07:34:07.1780940
Lawyers say a bigger financial threat to VW than any EU regulatory fines is likely to come from private litigation.,574,123,0.43,0.50,True,False,True,376,2022-07-01T13:55:10.7291930
"Elsewhere in Asia, Japan's Nikkei surrendered earlier gains to end the day at its lowest since Sept. 30.",806,164,0.27,0.44,True,False,True,505,2022-08-18T14:12:56.5631410
"On that basis, a reduction of a roughly 20percent drop in sugar calories consumed could amount to 3.7 million tonnes  small relative to worldwide use of over 186 million tonnes, but still more than enough to meet the entire needs of Egypt.",858,179,0.50,0.55,True,False,True,516,2022-08-18T14:18:58.9154220
" U.S. stocks sold off further on Thursday, giving the Dow and S&P 500 their worst fourday starts to a year ever, dragged down by another drop in Chinese equities and oil prices at 12year lows.",878,181,0.28,0.56,True,False,True,621,2022-08-23T08:58:32.2689150
"It rose 23 percent between January and November, the first source said, while hedge funds rose 0.27 percent on average over the same period, data from Hedge Fund Research shows.",982,195,0.61,0.52,True,False,True,83,2022-06-07T14:44:38.2476820
China's securities regulator also unveiled new rules on Thursday to restrict selling by big shareholders who have been locked into their holdings for six months since Beijing banned them from offloading stocks to arrest a summer market crash.,1109,216,0.40,0.58,True,False,True,793,2022-08-25T09:19:27.1635610
" Mitsubishi Motors (T:7211) said on Thursday it would close its sole production plant in the United States as the Japanese automaker cuts losses on dwindling sales in North America and a strong U.S. dollar, which has stymied returns.",1139,233,0.21,0.58,True,False,True,173,2022-06-17T09:39:53.1963370
"Starboard in a letter to the board of directors implied that Mayer and her officers needed to go, without naming her specifically.",1258,253,0.38,0.60,True,False,True,296,2022-06-24T13:16:15.4530280
"AT&T Inc (N:T) has been exploring a sale of its data center assets since last year, while CenturyLink announced in November 2015 that it was exploring strategic alternatives for its data centers.",1372,276,0.53,0.57,True,False,True,530,2022-08-22T08:35:01.3271850
"In a bid to stabilize its markets, the People's Bank of China on Tuesday injected $20 billion into the financial system.",1480,304,0.62,0.42,True,False,True,403,2022-07-19T16:12:28.8205310
He added VW's workers should not be made to bear the responsibility for the misconduct of those who carried out the emissions test cheating.,1572,329,0.38,0.62,True,False,True,129,2022-06-09T10:23:26.3287330
"The bank stressed on Monday that its independence after the death of Hans Vontobel, the largest single shareholder, had been ""a matter of great importance"" to him.",1601,340,0.52,0.63,True,False,True,796,2022-08-25T09:21:27.1025360
"Google has a limited presence in China, although the company has signaled it could expand there.",1720,385,0.57,0.50,True,False,True,607,2022-08-23T08:53:05.3553900
"Hans Vontobel joined the bank in 1943, seven years after his father set up J. Vontobel & Co.",1740,388,0.55,0.43,True,False,True,353,2022-08-25T09:25:32.2280100
"""The diesel passenger car could sooner or later disappear from these markets,"" Elmar Degenhart said in an interview with markets daily BoersenZeitung published on Thursday.",1862,412,0.35,0.42,True,False,True,631,2022-08-23T11:38:39.5057950
"Plc will pay more than $13.75 million to settle a U.S. regulator's charges that it allowed customers to make more than 6,100 unsuitable mutual fund switches, and failed to provide some customers discounts on large fund transactions.",2031,487,0.31,0.58,True,False,True,445,2022-08-05T13:25:54.5102210
"rationale for PICC's acquisition of Hua Xia is to allocate its investmentgrowing portfolio,"" he said, adding that the planned pricing was in line with market expectations.",2042,494,0.62,0.40,True,False,True,737,2022-08-24T14:13:57.4436040
"Defense Undersecretary Frank Kendall, who oversees arms weapons acquisitions and industrial base issues for the Pentagon, made the comments in an interview, after first mentioning the legislative push in September.",2532,615,0.51,0.55,True,False,True,394,2022-07-19T16:09:01.8675920
Shares of the restaurant company known for its fresh ingredients and meat from antibioticfree farm animals touched a 19month low near $494 as JPMorgan (N:JPM) downgraded the stock to neutral from overweight.,2545,617,0.33,0.64,True,False,True,107,2022-06-08T12:41:24.0724310
"The new campaign, discussed last week at a closeddoor meeting of 2,000 group managers, is VW's latest attempt to regain the initiative in rebuilding its reputation following a sharp drop in sales in some markets, including the United States and Britain.",2697,655,0.40,0.60,True,False,True,356,2022-07-01T13:49:40.9980470
"(http://s.nikkei.com/1PjDrBi)McDonald's, which owns nearly half of the Japanese unit, has asked potential buyers to respond by midJanuary, and the top candidate will likely be granted the right of first refusal, Nikkei said.",2857,682,0.50,0.50,True,True,True,654,2022-08-23T11:47:38.4647010
The Securities and Exchange Commission said that two of the bank's wealth management units have agreed to admit to wrongdoing and pay $267 million to settle the charges.,3116,747,0.38,0.67,True,False,True,106,2022-06-08T12:40:33.8315050
"Instead, such pharmacies can prepare medications only for individual patients once they have a prescription, and must comply with state and federal regulations.",3244,779,0.37,0.51,True,False,True,10,2022-06-03T14:26:09.6874270
"The company is also seeking FDA approval for its E4 device, a researchgrade version for use in clinical trials.",3285,781,0.78,0.20,True,False,True,206,2022-06-17T14:05:02.2024730
It is case No. 152115.,3422,790,0.50,0.50,True,True,True,38,2022-06-03T14:33:43.3399380
"The bank is expected to pay at least $200 million to resolve parallel civil charges by both the Securities and Exchange Commission, as well as the Commodity Futures Trading Commission, one of the people said on Thursday.",3473,800,0.10,0.85,True,False,True,316,2022-06-24T18:56:57.1699310
Energy and material stocks were down as crude oil prices fell on fresh evidence of growing global oversupply.,3737,856,0.38,0.52,True,False,True,384,2022-07-01T13:57:01.5737550
"Higher interest rates make loans more expensive, crimping profit margins.",3741,856,0.62,0.49,True,False,True,160,2022-06-17T09:35:03.2321250
" The UK division of Starbucks UK (O:SBUX) on Tuesday reported higher profits for the year ending Sept. 27, even as its tax payment to Britain decreased by as much as 28 percent.",3919,898,0.61,0.58,True,False,True,105,2022-06-08T12:40:12.7770440
