,sentence,id,article_id,valence,arousal,is_annotated,is_miscellaneous,rank_value
0,"The automaker also said it is considering introducing subcompact SUV models in South Korea, the United States and Europe.",186,43,0.64,0.51,True,False,0.01
1,It fell 12 percent last year.,274,63,0.39,0.49,True,False,0.66
2,Dozens of companies in the sector merged in the 1990s as military spending fell sharply after the end of the Cold War.,2540,615,0.5,0.7,True,False,0.87
3,"Annual revenues for the government IT business are now between $4.5 billion and $5 billion, instead of the $6 billion initially projected, the people said.",3313,782,0.36,0.54,True,False,0.67
4,"The Swedish crown rose versus the dollar and euro after the Riksbank, Sweden's central bank, kept interest rates unchanged as expected but said it was ready to act if a slight rise in inflation stalled.",4024,936,0.55,0.39,True,False,0.34
5,"The sharp fall in oil prices has resulted in less M&A opportunities, in particular from national oil companies, and increased the need for preserving capital, resulting in less work for bankers.",4081,950,0.19,0.39,True,False,0.08
6,"  Wells Fargo  (N:WFC) & Co is moving the New York headquarters of its Wells Fargo Securities arm to Manhattan's West Side, to 30 Hudson Yards, which is currently under development, the company said in a statement.",4469,1030,0.54,0.47,True,False,0.77
7,"Economy Minister Vazil Hudak said the JLR factory would create 12,000 jobs in supplier industries in addition to those at the factory.",4547,1054,0.79,0.58,True,False,0.8
8,There is no indication that Fiat Chrysler intentionally hid the reports and no suggestion that NHTSA failed to discover safety defects because of the missing reports.,5061,1130,0.33,0.44,True,False,0.0
9,"""Depending on the outcome of these discussions and the remedies that may be required, there is strong likelihood that the closing of the transaction will slide to 2016.""Garcia said the companies were confident that the deal would be approved.",5112,1133,0.69,0.6,True,False,0.2
10,"When asked, the source said Sutton Coldfield ""was presumed to be one of the UK sites.",5422,1202,0.51,0.49,True,False,0.7
11,Boeing plans to deliver the 737 MAX in the third quarter of 2017.,5719,1273,0.59,0.54,True,False,0.69
12,"Renault remains on collision course with France, its biggest shareholder, in a dispute that erupted in April when Economy Minister Emmanuel Macron raised the government's stake in the carmaker to secure double voting rights.",5832,1298,0.4,0.7,True,False,0.01
13,"""We have seen a turnaround in the U.S.",6561,1438,0.57,0.64,True,False,0.64
14,"Citing ""new evidence,"" the UN's Office of the High Commissioner for Human Rights said in a statement the residue ""contained high levels of toxic heavy metals and other toxic chemicals"".",7528,1690,0.28,0.77,True,False,0.05
15," U.S. stock indexes closed slightly lower in a quiet trading day on Wall Street after last week's strong gains, while a big healthcare deal failed to impress investors on Monday.",8027,1803,0.22,0.36,True,False,0.68
16,United's management has made securing labor contracts a top focus following a leadership change in September.,8242,1857,0.56,0.52,True,False,0.62
17,Those systems regulate how a vehicle cleans burnedup fuel before it is expelled as exhaust.,8852,1926,0.52,0.51,True,False,0.86
18,"The British bank is also removing a head of global electronic trading for foreign exchangerelated misconduct, the New York Department of Financial Services (NYDFS) said.",9169,1993,0.31,0.6,True,False,0.06
19,"The monitor would help regulators oversee one of the biggest and most complex safety recalls in U.S. automotive history, encompassing 23 million air bag inflators in 19 million vehicles manufactured by 12 car companies.",9636,2100,0.41,0.56,True,False,0.9
20,"At the same time, the Detroit automakers need to continue building and selling small cars to meet evertightening U.S. fuel economy regulations because big pickups and SUVs have much lower mileage.",9663,2106,0.46,0.55,True,False,0.55
21,"Tenyear yields were last down 2.1 bps at 2.59 percent, having hit 2.41 percent in Asian trade.",9790,2135,0.38,0.49,True,False,0.37
22,"In response to the growing public criticism, Vale on Tuesday said it had ""supported Samarco since the first day"" of the disaster and had provided 100 employees, helicopters, fuel and vehicles to the recovery effort.",10512,2269,0.48,0.6,True,False,0.51
23,"CARLb).The takeover, which SABMiller's board provisionally accepted last month, would be the largest of a Britishbased company and the fourthbiggest overall of any corporation.",10630,2304,0.56,0.66,True,False,0.78
24,"The rally ""now has the ability to spread out and we can see some further strength in consumer discretionary,"" he said, while also citing financials as an added push higher for stocks.",11265,2465,0.63,0.53,True,False,0.99
25,"""We estimate that women, whatever their revenue level, spend as much as a third of their income on beauty,"" Reza Miremadi, who distributes L'Oreal's mass market brands such as Maybelline and Garnier in Iran.",13062,2791,0.62,0.62,True,False,0.77
26,"Growing digital sales, which were less than 3 percent of Target's business through the first half of the year, has been a priority for Cornell.",13279,2834,0.51,0.66,True,False,0.28
27,Other major international banks such JP Morgan or UBS made swifter changes to their strategies to address persistently low interest rates and tighter regulation after the financial crisis.,13618,2902,0.54,0.51,True,False,0.22
28,Alibaba  (N:BABA) rose 4 percent to $79.44 after the ecommerce giant reported betterthanexpected revenue.,14007,2966,0.81,0.56,True,False,0.35
29,"The number of recalled vehicles, more than double Bentley's record 11,020 deliveries last year, includes 5,906 cars in China, the brand's secondbiggest market after the Americas, he said.",14186,3012,0.35,0.57,True,False,0.36
30,It said it was finalizing both agreements with the U.S. government and expected to receive more funding this year.,15666,3320,0.64,0.56,True,False,0.97
31,"Wilpon and Katz settled that lawsuit in 2012 by agreeing to give up their claims to all but $16 million of the $178 million they lost in the Madoff fraud, though it is unlikely they will recover any funds.",16200,3411,0.37,0.54,True,False,0.54
32,Cheap used planes can help airlines bridge the few years until they can get the fuelefficient 777Xs or A330neos.,16434,3456,0.56,0.49,True,False,0.14
33,"""What they should have done was build a collar around VMware.",17002,3569,0.41,0.57,True,False,0.02
34,"""And the rest of the organization will be streamlined in parallel.""FBN",17095,3585,0.55,0.51,True,False,0.8
35,Pepsi and CocaCola are no strangers to the dairy sector.,17318,3639,0.55,0.53,True,False,0.31
36,"The S&P 500 (SPX) lost 0.36 percent to 1,979.92 and the Nasdaq Composite (IXIC) dropped 0.69 percent to finish the day at 4,748.36.Seven of the ten major S&P sectors ended lower.",18831,3891,0.27,0.45,True,False,0.17
37,"Prices for services can vary widely even from one customer to another at the same bank, depending on such things as how big the fund is and how much business it does with the bank.",18911,3917,0.52,0.53,True,False,0.86
38,The dollar rose 0.3 percent to 120.24 yen <JPY=> after nudging up overnight versus its Japanese counterpart.,19903,4103,0.63,0.52,True,False,0.67
39,"The lack of information available on how different dark pools operate makes it nearly impossible for investors to evaluate risks and make informed choices about different venues, which vary widely in pricing, order priority and customers, Stein said.",20034,4119,0.36,0.58,True,False,0.93
40,"""The market thinks the latest bout of risk aversion will drive the Fed to postpone a rate hike,"" said Niels Christensen, FX strategist at Nordea.",20485,4210,0.53,0.38,True,False,0.49
41, The Bill & Melinda Gates Foundation Trust has sued Brazil's Petrobras (SA:PETR4) (N:PBR) to recoup stock losses stemming from a corruption scandal at the staterun oil company.,20970,4293,0.33,0.67,True,False,0.43
42,"A rate hike and dovish outlook, no hike with hawkish comments and a no hike with dovish comments.",22367,4612,0.51,0.5,True,False,0.77
43,"Commodity prices were relatively wellsupported with U.S. crude futures last trading at $46.77 per barrel, down slightly from Thursday's high of $47.71 but still up almost 5 percent on the week.",22373,4612,0.67,0.52,True,False,0.84
44,"""This is not a benchmark ...(but) there is scope, if the necessity is there.""",22893,4715,0.53,0.57,True,False,0.8
45,"Experts reckon there are only a small number of nations with cyber intelligence services which are capable of such attacks on network equipment, including those of Britain, China, Israel, Russia and the United States.",22915,4719,0.46,0.59,True,False,0.71
46,"BAIC's research center, which initially will house 20 employees, is located in Fremont, near the assembly plant where Tesla builds the Model S electric car.",23864,4923,0.55,0.52,True,False,0.15
47,"The largest Texas supermarket chain, HEB, which also sells toys and appliances, has also launched a layaway plan and related promotions.",23904,4928,0.58,0.52,True,False,0.36
48,"""While emerging markets are in a far better shape than what they were a few years ago, there may be more pain in store for them,"" he said.",25321,5314,0.41,0.61,True,False,0.41
49,"""""We have an ability to have our voice heard in the M&A process and we use that ability,"" said Kent Fisher, vice president and general manager of suppliers at Boeing Commercial Airplanes.",25763,5427,0.58,0.66,True,False,0.92
50,"In the United States, farmers are tightening their budgets and cutting back on everything from equipment to seeds and pesticides.",26343,5539,0.28,0.35,True,False,0.45
51,These shares of companies incorporated in mainland China are listed on the Hong Kong exchange.,27724,5879,0.56,0.5,True,False,0.26
52,"Net income rose to $2.23 billion, or $1.73 per share, in the quarter ended Aug. 2.",27748,5896,0.62,0.52,True,False,0.56
53,"agree with that perspective at $30, but at $14 I feel like it's more than baked in,"" Smoluch said, adding that at current levels he is buying SunEdison again.",28162,6010,0.59,0.52,True,False,0.11
54,"U.S. crude  settled down $1.07 at $42.23 a barrel, after setting a session bottom at $41.91, its lowest since March 2009 when the financial crisis was wreaking havoc on oil prices.",28237,6025,0.45,0.67,True,False,0.47
55," General Motors Co (N:GM) luxury brand Cadillac aims to increase its annual sales to half a million vehicles worldwide by 2020 from an expected 275,000 this year, Cadillac's top executive said on Tuesday.",28674,6151,0.68,0.57,True,False,0.65
56,"""Our pitch to clients is that it is not about being all things to all people,"" Potter said.",28720,6164,0.54,0.51,True,False,0.76
57,U.S. sales for fully electric vehicles including the Nissan Leaf have fallen this year as gasoline prices have dropped.,29294,6353,0.32,0.51,True,False,0.12
58,"Its ""gothic delta wing"" echoes the elegant curves of Concorde.",29630,6442,0.7,0.53,True,False,0.16
59,Prosecutors have conceded that Madoff alone knew the full extent of his deception.,29824,6469,0.29,0.61,True,False,0.28
60,"Fedex and TNT Express said they were still on track to complete their proposed combination in the first half of 2016, despite the announcement of the European Commission's indepth review.",30130,6548,0.46,0.62,True,False,0.96
61,"""Pearson did not name the potential buyers.",31402,6834,0.55,0.38,True,False,0.49
62,The management shakeup comes a week after the No. 2 U.S. bank by assets reported its biggest quarterly profit in nearly four years as expenses fell to their lowest since the financial crisis.,32060,6947,0.76,0.75,True,False,0.39
63,Abercrombie is expected to post a 31 percent fall in profit for the AugustOctober period.,32584,7034,0.29,0.5,True,False,0.79
64,"The Nasdaq Composite was up 33.14 points, or 0.65 percent, at 5,104.65.The panEuropean FTSEurofirst 300 index closed up 0.53 percent, at 1,580.34.",33816,7310,0.52,0.42,True,False,0.53
65,"Fedex's directors discussed the deal at a meeting over the weekend, Bloomberg reported.",33962,7352,0.54,0.54,True,False,0.44
66,The Asian giant reports domestic product data on Wednesday and forecasts are that annual growth slowed to 6.9 percent last quarter.,34191,7404,0.36,0.45,True,False,0.75
67,"Konigsberg also allowed Madoff to pay a relative for a noshow job at Madoff's firm, prosecutors said.",34641,7478,0.37,0.55,True,False,0.02
68,"""Deutsche Bank has been plagued by fines and investigations, faces high operating costs and unhappy unions, and requires huge investments to modernise technology and restructure.",35951,7838,0.21,0.73,True,False,0.34
69,The bank's apartment business could be tested in at least two ways in coming years.,35991,7846,0.53,0.68,True,False,0.68
70,"""The reviews are worrying for the agencies but their effects will also be felt on media owners because the price of ads will fall further,"" Levy predicted, referring to TV broadcasters, print outlets, and radio.",36560,7986,0.32,0.59,True,False,0.08
71,"WPP has made a big bet on data with its Kantar unit, which Sorrell argues offers a competitive advantage although a lower margin business.",36565,7986,0.54,0.61,True,False,0.52
72,Some analysts had expected Baer to set aside as much as 850 million Swiss francs ($914 million) for the case.,37139,8120,0.43,0.56,True,False,0.49
73,"Set against such obstacles to a deal is the increasingly cutthroat nature of the French telecoms sector and how Bouygues Telecom, after a strong start, has struggled to keep up since Iliad's 2012 arrival as a fourth national player.",37288,8162,0.35,0.42,True,False,0.24
74,Higher capital requirements mean less money to lend out or invest and consequently lower returns for a bank.,37640,8257,0.34,0.43,True,False,0.28
75,"""The market seems to be pricing in a possibility, overpricing, a Greece exit,"" said Art Hogan, chief market strategist at Wunderlich Securities in New York.",38073,8367,0.38,0.66,True,False,0.37
76,"Simply appealing to a sense of patriotism to get a deal done is no longer acceptable, the protesting investors say.",38482,8454,0.44,0.61,True,False,0.46
77,"With investors growing more nervous about the timing of the Fed's first rate hike in nearly a decade, the Dow dipped into negative territory for 2015.Strongerthanexpected May jobs data released on Friday prompted expectations of a Fed rate hike in September, sooner than some expected.""The",39249,8644,0.5,0.5,True,True,0.73
78,"""That makes it a lot more difficult to get the confidence level from the board and investors to take big swings,"" he said.",39658,8730,0.34,0.63,True,False,0.2
79,"Google, for instance, won a project from the Autism Speaks foundation to collect and analyze the genomes of 10,000 affected children and their parents for clues to the genetic basis of autism.",39689,8731,0.62,0.53,True,False,0.89
